URL,IsDomainIP,IsHTTPS,HasObfuscation,NoOfSubDomain,NoOfEqualsInURL,NoOfQMarkInURL,NoOfOtherSpecialCharsInURL,TLDLegitimateProb,HasTitle,HasFavicon,Robots,IsResponsive,HasDescription,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasPasswordField,HasCopyrightInfo,label
https://www.dims.ne.jp,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
https://www.lexifi.com,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1
https://www.mailasail.com,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1
https://www.macodirect.de,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
https://www.chinainsight.info,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1
https://www.muas.cz,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
https://www.vesuviusmedia.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
https://www.stara.fi,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1
https://www.openaero.net,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
https://www.lemonadecelebrations.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
https://www.p2012.org,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
https://www.cookingpal.com,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1
https://www.ainmean-aite.scot,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1
https://www.anjasturm.com,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1
https://www.stylebistro.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
https://www.ise.ncsu.edu,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1
https://www.armoryarts.org,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
https://www.chevronmarineproducts.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
https://www.dav.org,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
https://www.n2yo.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1
https://www.ancruzeiros.pt,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
https://www.prolifeprofiles.com,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1
https://www.mtl.mit.edu,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1
https://www.munich-airport.de,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
https://www.knoxspice.com,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1
https://www.itf-administration.com,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1
https://www.tasteofbeirut.com,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
https://www.bestforbride.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1
https://www.sea-angling-ireland.org,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
https://www.end.org,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
https://www.caravaggio.com,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
https://www.thefloralatelier.co,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
https://www.thesecurityawarenesscompany.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1
https://www.give2kids.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1
https://www.lamodabyandriana.com,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1
https://www.teachersalaryproject.org,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
https://www.ccleaner.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1
https://www.madisonvet.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
https://www.caa.gov.vn,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
https://www.lespanses.com,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1
https://www.cz.reduslim.health,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1
https://www.drivethatmatter.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
https://www.slowtravelbavaria.com,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1
https://www.ecreativeim.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
https://www.mason-jars.nl,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1
https://www.loosemoose.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
https://www.ar13.cl,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1
https://www.sdds.org,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1
https://www.graphiclibrary.org,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1
https://www.barcha.net,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1
https://www.scoutmag.ph,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
https://www.mureview.net,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1
https://www.gemwebb.com,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
https://www.symplelogix.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
https://www.dynamicsphysicaltherapy.com,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
https://www.portalautomotriz.com,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
https://www.addtoany.com,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
https://www.lavozdeasturias.es,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1
https://www.indigitalworks.com,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
https://www.siliconexpert.com,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1
https://www.designgivers.org,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1
