URL,IsDomainIP,IsHTTPS,HasObfuscation,NoOfSubDomain,NoOfEqualsInURL,NoOfQMarkInURL,NoOfOtherSpecialCharsInURL,URLSimilarityIndex,TLDLegitimateProb,HasTitle,HasFavicon,Robots,IsResponsive,HasDescription,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasPasswordField,HasCopyrightInfo,label
http://www.keller-bec.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.thesacredmiddle.com,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1
https://www.themotherhood.com,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
https://www.aicm.com.mx,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
https://www.myqsafe.co.uk,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1
http://www.wizu.webd.pl,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.retegui-marble.fr,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1
http://www.usawebproxy.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
http://www.k.sdtsm.com,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.cumberlandlodge.ac.uk,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
https://www.southwhidbeyrecord.com,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
http://www.ftp.applemusic.wikaba.com,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
http://www.odd-mud-233e.gtech.workers.dev,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.luciamangili.it/z1jkap/china.com/,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.roadsafetysweden.com,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
http://www.larkbucket.oss-us-west-1.aliyuncs.com,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.wcpfc.int,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
https://sml-87gd.web.app/,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
http://www.edjkpz.tokyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://demo2.cloudwp.dev/trial-4z6549uz/wp-admin/1/de/,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
https://wsinghal.icu/nehemia3.php,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.elrodtimber.com,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
https://www.dotgo.eu,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
